t,x,u,u_t,u_x,u_xx
0.0,-5.5625,4.7215405074574335e-07,1.3272905430294912e-06,1.5790072294130653e-06,4.310780273186765e-06
0.0,-5.5,5.796621328491014e-07,1.5844361561656584e-06,1.8601422975272897e-06,4.9496156719897044e-06
0.0,-5.4375,7.046718379366546e-07,1.9664311676215185e-06,2.1977091884117783e-06,5.581527105391615e-06
0.0,-5.375,8.543757814005737e-07,2.2959924342313975e-06,2.5578331857012415e-06,6.404731873743685e-06
0.0,-5.3125,1.0244009861493097e-06,2.8669949680981688e-06,2.998300672629739e-06,7.689916067477043e-06
0.0,-5.25,1.229163365479291e-06,3.2309084094239715e-06,3.519072694135872e-06,8.033964782327985e-06
0.0,-5.1875,1.4642850729162937e-06,3.6992109006539486e-06,4.002546270420737e-06,8.487388704736532e-06
0.0,-5.125,1.7294816492818832e-06,4.4283144287615706e-06,4.579996282227938e-06,9.94510674345861e-06
0.0,-5.0625,2.036784608194786e-06,5.090543974961559e-06,5.245684613353063e-06,1.0945145913154875e-05
0.0,-5.0,2.385192225951016e-06,5.887501515478011e-06,5.948139521372298e-06,1.190177766474676e-05
0.0,-4.9375,2.7803020483663232e-06,6.764473022002893e-06,6.733406821446408e-06,1.302929819857468e-05
0.0,-4.875,3.226868078631817e-06,7.708233859538005e-06,7.5768017961941325e-06,1.3761587648986051e-05
0.0,-4.8125,3.7274022728905898e-06,8.801938661262554e-06,8.453605277569665e-06,1.5332967564063438e-05
0.0,-4.75,4.283568738328025e-06,1.0169298173823282e-05,9.493422741702062e-06,1.7066479362171094e-05
0.0,-4.6875,4.9140801156033476e-06,1.1258572892303143e-05,1.0586915197841051e-05,1.7789061809381224e-05
0.0,-4.625,5.606933138058157e-06,1.275139449113949e-05,1.1717055467874715e-05,1.8814169932213076e-05
0.0,-4.5625,6.378712049087687e-06,1.4191531456236861e-05,1.2938686439367686e-05,2.008301757250308e-05
0.0,-4.5,7.224268942979117e-06,1.5996228178577487e-05,1.42274326644376e-05,2.166842466522212e-05
0.0,-4.4375,8.157141132142387e-06,1.7839208914099958e-05,1.564723952252045e-05,2.3396499905459223e-05
0.0,-4.375,9.180173883294174e-06,1.982501913036505e-05,1.7151995152620003e-05,2.441606438274846e-05
0.0,-4.3125,1.0301140526219887e-05,2.1863997203830365e-05,1.8699247570364008e-05,2.5470734390964367e-05
0.0,-4.25,1.1517579829589675e-05,2.427710780725234e-05,2.033583695149055e-05,2.721564430885337e-05
0.0,-4.1875,1.2843120145156206e-05,2.674423669399295e-05,2.210120310897068e-05,2.8878191280057308e-05
0.0,-4.125,1.428023021821101e-05,2.9391700395731135e-05,2.3945610861497713e-05,3.0234019513741828e-05
0.0,-4.0625,1.583632150284342e-05,3.214855675129358e-05,2.5880455548188408e-05,3.145157567630008e-05
0.0,-4.0,1.751528716173456e-05,3.508409221308906e-05,2.7877057821035223e-05,3.267672301987545e-05
0.0,-3.9375,1.9320953730472823e-05,3.826947416393778e-05,2.996504592567284e-05,3.421759075372677e-05
0.0,-3.875,2.1260917902443666e-05,4.162339968763473e-05,3.215425666525107e-05,3.5744048327401856e-05
0.0,-3.8125,2.3340235813629207e-05,4.51645356981667e-05,3.443305196659807e-05,3.6966070535271456e-05
0.0,-3.75,2.5565049398268425e-05,4.88651180709232e-05,3.677501548216e-05,3.827049008187089e-05
0.0,-3.6875,2.7937112748899207e-05,5.2869938525768045e-05,3.921686322683193e-05,3.979963318556656e-05
0.0,-3.625,3.0467157301622416e-05,5.6961757118750844e-05,4.174996963035582e-05,4.1043594293910246e-05
0.0,-3.5625,3.3155858952693684e-05,6.132105953265965e-05,4.4347312513570714e-05,4.2362295538111994e-05
0.0,-3.5,3.6010571365818755e-05,6.585723364815887e-05,4.704525657261982e-05,4.366382615117459e-05
0.0,-3.4375,3.903651602427116e-05,7.0560115721513e-05,4.980529078246754e-05,4.471806808048484e-05
0.0,-3.375,4.22362327136272e-05,7.552195293816788e-05,5.2635015082680425e-05,4.602333561187777e-05
0.0,-3.3125,4.5615892909606215e-05,8.06841489979504e-05,5.555820773395226e-05,4.720042696959581e-05
0.0,-3.25,4.918100868037123e-05,8.600927742283271e-05,5.85350684538799e-05,4.811793557202293e-05
0.0,-3.1875,5.29327764663412e-05,9.162572674470404e-05,6.157294968045512e-05,4.93941311212609e-05
0.0,-3.125,5.687762739042812e-05,9.744734928748833e-05,6.470933484403751e-05,5.036439953798322e-05
0.0,-3.0625,6.102144332184589e-05,0.00010340317329923798,6.786849962270303e-05,5.13228520588882e-05
0.0,-3.0,6.5361189843266e-05,0.00010977217804228334,7.112469135139854e-05,5.27407751942377e-05
0.0,-2.9375,6.991202974077071e-05,0.00011609894650155272,7.446109652198274e-05,5.339129259418485e-05
0.0,-2.875,7.466882690851384e-05,0.0001227330557868056,7.779860292567164e-05,5.399369727854264e-05
0.0,-2.8125,7.963685510647966e-05,0.00012960078254353746,8.121030868180057e-05,5.5123670449575e-05
0.0,-2.75,8.482011549373891e-05,0.00013667242733286789,8.468906173186852e-05,5.585316613299085e-05
0.0,-2.6875,9.022298782296323e-05,0.00014389573533099553,8.819195444842443e-05,5.675161936302686e-05
0.0,-2.625,9.584410979979197e-05,0.00015144059689678468,9.178301415224688e-05,5.740202928983251e-05
0.0,-2.5625,0.00010169586459199409,0.00015892105426712488,9.536720810965349e-05,5.7368508786126426e-05
0.0,-2.5,0.00010776501081349865,0.00016696741974478457,9.895407775051268e-05,5.84969896770815e-05
0.0,-2.4375,0.00011406512431080817,0.000175131485197072,0.00010267933181928868,5.965551084230469e-05
0.0,-2.375,0.00012059992729090974,0.0001833509504088615,0.00010641101660580077,5.968651877097386e-05
0.0,-2.3125,0.00012736650138653327,0.00019182264871367427,0.00011014014666566041,6.0076910731510225e-05
0.0,-2.25,0.0001343674456241173,0.00020051502754497852,0.00011392063044723955,6.045215066308174e-05
0.0,-2.1875,0.00014160658019243821,0.00020934179231130168,0.00011769666549854563,6.093447175636868e-05
0.0,-2.125,0.0001490795288114355,0.0002185356784638326,0.00012153743941678563,6.196504159383665e-05
0.0,-2.0625,0.00015679876011953642,0.00022765105873137625,0.0001254422956977752,6.16915662430273e-05
0.0,-2.0,0.0001647598157736574,0.00023691053245414317,0.00012924888519716404,6.131867521119716e-05
0.0,-1.9375,0.00017295487076918192,0.0002466659797363546,0.00013310713009917485,6.225629578970882e-05
0.0,-1.875,0.00018139820703605425,0.00025637783534065983,0.00013703092217087764,6.254216263101853e-05
0.0,-1.8125,0.00019008373604054163,0.00026631571020327427,0.00014092490042805217,6.24548077574616e-05
0.0,-1.75,0.00019901381958956077,0.00027640379270263415,0.00014483777314056034,6.275711904280001e-05
0.0,-1.6875,4.85722573273506e-16,4.093947403305265e-15,5.200373937030989e-09,-1.8765546938581679e-07
0.0,-1.625,4.288486579739903e-11,2.3914767735555564e-12,-3.8280737746365645e-09,-1.0125485738754492e-07
0.0,-1.5625,-4.785087361069973e-10,1.1244130626586468e-11,-7.456483236412126e-09,-8.61726372480831e-08
0.0,-1.5,-8.891755387541167e-10,1.8934281226234972e-11,-1.4599653430646953e-08,1.0342817247099845e-07
0.0,-1.4375,-2.3034654149378664e-09,2.536451951251628e-11,5.47203832246268e-09,3.189485691112992e-07
0.0,-1.375,-2.051707484462817e-10,-9.242780152352026e-13,2.5268917708265448e-08,-2.940345833479796e-08
0.0,-1.3125,8.551492985953146e-10,2.933457296516728e-11,1.796606030612935e-09,-2.668290068896795e-07
0.0,-1.25,1.9405005380335183e-11,-5.179710826919148e-13,-8.084708152944486e-09,-2.5525933811110235e-08
0.0,-1.1875,-1.5543922052274617e-10,4.76474588950726e-11,-1.3941356957758444e-09,1.4993623342896e-07
0.0,-1.125,-1.5486195659164537e-10,3.52508820744557e-11,1.0657321025675515e-08,-8.977030274692765e-08
0.0,-1.0625,1.1767259076866932e-09,2.9029938175550996e-11,-1.2615423539141801e-08,-1.581628044089456e-07
0.0,-1.0,-1.7317898989843705e-09,1.2282324463042116e-10,-9.113029525442684e-09,1.8019032310689909e-07
0.0,-0.9375,3.759721700635765e-11,1.9377111026841476e-10,9.908366849220585e-09,6.82253611383743e-08
0.0,-0.875,-4.932440428317975e-10,3.4620511318861347e-10,-5.84859383145897e-10,5.428011906616348e-08
0.0,-0.8125,-3.5510205886879476e-11,6.036900840333814e-10,1.669338173249102e-08,-1.3930223197178293e-08
0.0,-0.75,1.59342867372958e-09,1.0477015435772508e-09,-2.3261372827931837e-09,-1.7264580609577251e-07
0.0,-0.6875,-3.2627736623602743e-10,1.664934544398644e-09,-4.887344029480545e-09,7.717716510313721e-08
0.0,-0.625,9.825106700445119e-10,2.7237664207424572e-09,7.321008355098968e-09,7.992646677834614e-08
0.0,-0.5625,5.888486781513436e-10,4.178651730191163e-09,5.1034643178127226e-09,-5.8329074903440414e-08
0.0,-0.5,1.6204437097711022e-09,6.5184450892541435e-09,2.9873992168916175e-11,1.5869330649564972e-07
0.0,-0.4375,5.925829271724581e-10,9.870834843939136e-09,2.4940127629768938e-08,1.1855416115480466e-07
0.0,-0.375,4.7379596634922194e-09,1.4532651193555068e-08,1.4849144136519499e-08,-6.9989978257467556e-09
0.0,-0.3125,2.4487259442373954e-09,2.1141979833494418e-08,2.4065252901550593e-08,4.716794705927896e-07
0.0,-0.25,7.746116276186044e-09,3.022271807817667e-08,7.38090779606182e-08,3.5767685346854705e-07
0.0,-0.1875,1.167486068931467e-08,4.255689287080422e-08,6.877485958511897e-08,6.236406413506757e-08
0.0,-0.125,1.6342973724325915e-08,5.90561202717943e-08,8.160458597750164e-08,1.8768152187931264e-07
0.0,-0.0625,2.1875433936502375e-08,8.082930311181791e-08,9.223504982003305e-08,5.802036291413515e-07
0.0,0.0,2.7872354951830047e-08,1.0916332685018126e-07,1.5413003962017058e-07,1.0195323216777297e-06
0.0,0.0625,4.11416888890237e-08,1.458167905865615e-07,2.1967659002974926e-07,8.444256618389545e-07
0.0,0.125,5.5331928705548705e-08,1.9239765475242976e-07,2.596832473500399e-07,8.034042462412572e-07
0.0,0.1875,7.360209480777868e-08,2.511429378349028e-07,3.201021208099064e-07,1.3202958513147678e-06
0.0,0.25,9.5344693806787e-08,3.2443060155040726e-07,4.2472022876438587e-07,1.7935686464909395e-06
0.0,0.3125,1.2669212340332692e-07,4.149890980853499e-07,5.442982016212738e-07,1.990588767597501e-06
0.0,0.375,1.6338196900944624e-07,5.25883855351239e-07,6.735438247140735e-07,2.0727235288120482e-06
0.0,0.4375,2.108851014925861e-07,6.60523280793246e-07,8.033886427227799e-07,2.2631788425542254e-06
0.0,0.5,2.638055493497937e-07,8.225901915182021e-07,9.564411800333517e-07,3.1896552883381446e-06
0.0,0.5625,3.3044024899675506e-07,1.0162118049827917e-06,1.202095553765048e-06,3.999498602524909e-06
0.0,0.625,4.140674935704247e-07,1.2458392806280472e-06,1.4563785053489653e-06,4.21157268348793e-06
0.0,0.6875,5.124875621653757e-07,1.5161755004267086e-06,1.7285421392010392e-06,4.757357121576433e-06
0.0,0.75,6.301352609705546e-07,1.832333661466734e-06,2.0510481455460194e-06,5.6312276726089294e-06
0.0,0.8125,7.688685803586282e-07,2.1996927940248767e-06,2.4324455982771553e-06,6.366578151784097e-06
0.0,0.875,9.34190960755199e-07,2.623951288749371e-06,2.8468704145190316e-06,7.2233128669552116e-06
0.0,0.9375,1.124727382173507e-06,3.1110395812272706e-06,3.3353597066465568e-06,8.00393752342643e-06
0.0,1.0,1.3511109240860186e-06,3.667203790636009e-06,3.847362604947335e-06,8.437512200032415e-06
0.0,1.0625,1.605647707791924e-06,4.2987784368286874e-06,4.390048731650609e-06,9.924884984968685e-06
0.0,1.125,1.8998670155423447e-06,5.012427951867071e-06,5.087973228068421e-06,1.1414162916167925e-05
0.0,1.1875,2.2416443613004766e-06,5.814939811610298e-06,5.816819096171599e-06,1.2008267574969977e-05
0.0,1.25,2.6269694025637946e-06,6.713151912418613e-06,6.589006674939668e-06,1.3164204052174e-05
0.0,1.3125,3.065270195667935e-06,7.71405787886037e-06,7.462344602693349e-06,1.4463599061542709e-05
0.0,1.375,3.5597624779004633e-06,8.824735568679909e-06,8.396956557632507e-06,1.5687746728332286e-05
0.0,1.4375,4.1148897653719985e-06,1.0052199875265622e-05,9.423312943734885e-06,1.739615551699103e-05
0.0,1.5,4.737676595867324e-06,1.1403547798272129e-05,1.0571475997256385e-05,1.834934646893771e-05
0.0,1.5625,5.436324265029047e-06,1.2885812360197146e-05,1.1716981252352099e-05,1.9217292617668136e-05
0.0,1.625,6.202299252411336e-06,1.4505809843856632e-05,1.2973637574464902e-05,2.1164518667404764e-05
0.0,1.6875,7.0580289618371594e-06,1.6270521984440567e-05,1.4362546085777694e-05,2.287188802796436e-05
0.0,1.75,7.997617513133548e-06,1.818657782468036e-05,1.5832623577960447e-05,2.4390500570348195e-05
0.0,1.8125,9.037106909082215e-06,2.0260531143484473e-05,1.741135865707122e-05,2.563867843186074e-05
0.0,1.875,1.017403734526745e-05,2.249871534840131e-05,1.903745838194304e-05,2.6783162315524578e-05
0.0,1.9375,1.1416789206825095e-05,2.490728734025338e-05,2.075925394651179e-05,2.86661357726814e-05
0.0,2.0,1.2768944088581424e-05,2.7492074043400372e-05,2.2620725353528215e-05,3.053618219794885e-05
0.0,2.0625,1.4244379876016122e-05,3.025889312127661e-05,2.4576276721255397e-05,3.173194348882191e-05
0.0,2.125,1.584097867873835e-05,3.3212933977649906e-05,2.6587218289630954e-05,3.301627669749507e-05
0.0,2.1875,1.756778216221999e-05,3.63593384844485e-05,2.870331130844228e-05,3.460526265008923e-05
0.0,2.25,1.9428892592293634e-05,3.97028650377107e-05,3.091287612089211e-05,3.632404702536007e-05
0.0,2.3125,2.1431891677331505e-05,4.324799809884983e-05,3.324381718661229e-05,3.8019103518749375e-05
0.0,2.375,2.358436974062017e-05,4.699884603900917e-05,3.566526406073578e-05,3.9375532400853785e-05
0.0,2.4375,2.5890049684923477e-05,5.09592359619615e-05,3.816575873671901e-05,4.071643727066032e-05
0.0,2.5,2.8355089582710047e-05,5.513253968345011e-05,4.075481871956832e-05,4.232397483505679e-05
0.0,2.5625,3.098440202486952e-05,5.952193446109866e-05,4.345625559110111e-05,4.3806589788530914e-05
0.0,2.625,3.3787121531597686e-05,6.413023712820154e-05,4.6230642443134684e-05,4.501685413060841e-05
0.0,2.6875,3.676323233026135e-05,6.895974345402789e-05,4.908336235742716e-05,4.6457292672386075e-05
0.0,2.75,3.992254182627608e-05,7.401259793898829e-05,5.2037804027182943e-05,4.7763313999027446e-05
0.0,2.8125,4.326795783365922e-05,7.929049570865043e-05,5.5053776607305593e-05,4.902268900153217e-05
0.0,2.875,4.680426390218928e-05,8.479484183684938e-05,5.8165640152374465e-05,5.046066934433213e-05
0.0,2.9375,5.053866285270603e-05,9.052664984340875e-05,6.136136027534711e-05,5.157531584387698e-05
0.0,3.0,5.447443393660767e-05,9.648667154207868e-05,6.461255463285909e-05,5.274127386556415e-05
0.0,3.0625,5.8615232181813415e-05,0.00010267519260601099,6.795401950854263e-05,5.408639564485895e-05
0.0,3.125,6.29686863751755e-05,0.00010909247143198186,7.137335408846646e-05,5.499167447986508e-05
0.0,3.1875,6.753690144287172e-05,0.0001157381317613837,7.482797881852576e-05,5.611764290414101e-05
0.0,3.25,7.232218372749122e-05,0.00012261163481366855,7.838805945148408e-05,5.7166786893603216e-05
0.0,3.3125,7.733540887430723e-05,0.00012971220257854132,8.197382718022617e-05,5.7667324190546765e-05
0.0,3.375,8.256891212501949e-05,0.00013703870118342287,8.559647497530243e-05,5.884429648439493e-05
0.0,3.4375,8.803496824622004e-05,0.0001445897709673183,8.932936424077553e-05,5.9977375075348505e-05
0.0,3.5,9.373508265511643e-05,0.00015236376842919785,9.309364685972099e-05,6.048970962524436e-05
0.0,3.5625,9.967167410368516e-05,0.00016035874486605706,9.689057794393108e-05,6.130670588611054e-05
0.0,3.625,0.00010584640489810782,0.00016857260617189618,0.00010075698509548481,6.186042958233884e-05
0.0,3.6875,0.00011226629724062076,0.0001770031519197912,0.00010462313164172343,6.256836387663611e-05
0.0,3.75,0.00011892429635332324,0.00018564758095945821,0.00010857803058006432,6.386439267025423e-05
0.0,3.8125,0.0001258385510631288,0.0001945033852478184,0.00011260618072550521,6.390417378554503e-05
0.0,3.875,0.0001330000689440114,0.00020356740746699242,0.00011656605230325745,6.381953905965077e-05
0.0,3.9375,0.00014040930760103598,0.0002128366557936634,0.00012058362310796156,6.476813388722746e-05
0.0,4.0,0.0001480730218325066,0.00022230776020579213,0.00012466206903916088,6.526585980459743e-05
0.0,4.0625,0.0001559920662309311,0.00023197738459129758,0.00012874185558353624,6.568650147720234e-05
0.0,4.125,0.00016416575378044862,0.00024184167944890644,0.00013287288172381118,6.590870275502425e-05
0.0,4.1875,0.0001726011764464075,0.00025189727423560737,0.00013698044342791427,6.549462139027185e-05
0.0,4.25,0.0001812883092089379,0.00026213992305665346,0.00014105970939759516,6.629532420276973e-05
0.0,4.3125,0.00019023364012110688,0.00027256595449484666,0.00014526735895326048,6.710861495307086e-05
0.0,4.375,0.00019944672907809546,0.0002831711864419162,0.000149448286266729,6.652824554187475e-05
0.0,4.4375,0.000208914675904448,0.0002939515420272154,0.00015358338964599483,6.651610621766224e-05
0.0,4.5,0.00021864465278384482,0.0003049026246627895,0.0001577627995439368,6.676599076094192e-05
0.0,4.5625,0.0002286350258474401,0.00031602033245495265,0.00016192913849111257,6.655685554868285e-05
0.0,4.625,1.0408340855860843e-15,8.18789480661053e-15,-5.200662039905879e-09,1.878366011065502e-07
0.0,4.6875,-4.2622507086254036e-11,-2.706706386801372e-12,3.836708506455011e-09,1.0135925637699827e-07
0.0,4.75,4.79589604140962e-10,-9.95082488630672e-12,7.469245007218905e-09,8.619370350793076e-08
0.0,4.8125,8.910331188161091e-10,-1.6916242712161633e-11,1.4610921444946356e-08,-1.03634129333674e-07
0.0,4.875,2.3059547847592565e-09,-2.0684278942417755e-11,-5.485021159490344e-09,-3.189455799468277e-07
0.0,4.9375,2.0540547387981611e-10,4.294975833318837e-12,-2.5257276048407107e-08,2.9621665564860677e-08
0.0,5.0,-8.512047212916318e-10,-2.4852750066250984e-11,-1.7823129638827595e-09,2.6709878531150366e-07
0.0,5.0625,-1.7383646605528824e-11,1.7234711921498835e-11,8.130072115530851e-09,2.61611019514163e-08
0.0,5.125,1.6505429314972453e-10,-1.472355223852695e-11,1.4878247800442779e-09,-1.4939333925489962e-07
0.0,5.1875,1.685944509000059e-10,3.730893198550245e-11,-1.0544095291331601e-08,9.158485192450883e-08
0.0,5.25,-1.1529576182667256e-09,1.1784259332237035e-10,1.2935931270607881e-08,1.6202846375712454e-07
0.0,5.3125,1.785585859725991e-09,1.522752930693816e-10,9.709462678308967e-09,-1.746795863510897e-07
0.0,5.375,6.072521652189522e-11,3.151732347328462e-10,-8.899017023278333e-09,-5.8832405613884475e-08
0.0,5.4375,6.732087318161994e-10,5.597889513042631e-10,2.355411976573407e-09,-3.841306250862431e-08
0.0,5.5,3.551517135935711e-10,9.606709525100676e-10,-1.3700649836856371e-08,3.8438396021689414e-08
0.0,5.5625,-1.039372497790847e-09,1.5764902230874789e-09,7.160211479284584e-09,2.1039970166114585e-07
0.0,5.625,1.2501781485041441e-09,2.6305830430617405e-09,1.259931287078686e-08,-2.019598444036319e-08
0.0,5.6875,5.355416110575106e-10,4.128738496922413e-09,4.635713424239185e-09,4.214137039326715e-09
0.0,5.75,1.8296423265340422e-09,6.5231477164306995e-09,1.31260800007027e-08,1.8105709242988155e-07
0.0,5.8125,2.176301611145348e-09,9.826161689874269e-09,2.726784997797438e-08,1.3860297798373722e-08
0.0,5.875,5.23812357378084e-09,1.4613453919176678e-08,1.4858617225499415e-08,1.204097230811385e-07
0.0,5.9375,4.033628764332775e-09,2.149333495904404e-08,4.231906536311669e-08,3.3536066013084564e-07
0.0,6.0,1.0528006744170426e-08,3.09465959802413e-08,5.677869974185512e-08,-2.9258702127776814e-08
0.0,6.0625,1.1130966232064665e-08,4.38914325717743e-08,3.866172759714459e-08,2.2925056875067185e-07
0.0,6.125,1.53607226938135e-08,6.130340207688434e-08,8.54350208356891e-08,7.059415647603373e-07
0.0,6.1875,2.1810343836525803e-08,8.442304383349253e-08,1.2690442319218675e-07,8.044697032971726e-07
0.0,6.25,3.1223775592836844e-08,1.147281276925316e-07,1.8599373374783568e-07,6.865941841738277e-07
0.0,6.3125,4.505956055500526e-08,1.5400945532761945e-07,2.1272869621391521e-07,5.788411154838968e-07
0.0,6.375,5.7814862619576246e-08,2.040904464872817e-07,2.583488731833228e-07,1.1480742596603477e-06
0.0,6.4375,7.735316970292061e-08,2.67576593798724e-07,3.562379786714587e-07,1.6557900170965922e-06
0.0,6.5,1.0234460995350858e-07,3.4701904058631605e-07,4.653226253203968e-07,1.6852488400331822e-06
0.0,6.5625,1.355184978679702e-07,4.45506708468546e-07,5.668940836756065e-07,1.84442417960895e-06
0.0,6.625,1.732063704129594e-07,5.664671054450565e-07,6.958756477715156e-07,2.374082619382989e-06
0.0,6.6875,2.2250295383940966e-07,7.136869342727614e-07,8.636544110984801e-07,3.1188754547883946e-06
0.0,6.75,2.811631718002694e-07,8.913441582047987e-07,1.0857350796200649e-06,3.861967474705352e-06
0.0,6.8125,3.5821983879191777e-07,1.1040754155366983e-06,1.346400345436649e-06,3.98229361309177e-06
0.0,6.875,4.4946321497985053e-07,1.3567968898398064e-06,1.583521781256536e-06,4.33651655029621e-06
0.0,6.9375,5.561600614489848e-07,1.654812680496054e-06,1.8884649142236754e-06,5.4093119317144556e-06
0.0,7.0,6.8552132925781e-07,2.003889824075955e-06,2.259685772720843e-06,6.273359879571672e-06
0.0,7.0625,8.386207830390902e-07,2.410036304967278e-06,2.6726348991701343e-06,6.936357827669326e-06
0.0,7.125,1.0196006916540767e-06,2.87963730694063e-06,3.126730501179509e-06,7.865833190123794e-06
0.0,7.1875,1.2294620956865288e-06,3.4193477105315395e-06,3.6558640479356086e-06,8.802453500322827e-06
0.0,7.25,1.4765836976460278e-06,4.0361155009827065e-06,4.227037188719862e-06,9.942550349251178e-06
0.0,7.3125,1.7578417442765115e-06,4.73706729536838e-06,4.898682841592006e-06,1.1555153307085675e-05
0.0,7.375,2.0889190528450285e-06,5.52965418953999e-06,5.6714313521055715e-06,1.2237773027834464e-05
0.0,7.4375,2.466770663289708e-06,6.421354214747321e-06,6.428404470071314e-06,1.3037786136038676e-05
0.0,7.5,2.8924696116039428e-06,7.419792417140414e-06,7.301154619110406e-06,1.4846952407054914e-05
0.0,7.5625,3.3794149906785087e-06,8.532784182835318e-06,8.284273520953178e-06,1.6204150018239716e-05
0.0,7.625,3.92800380172309e-06,9.768090312167743e-06,9.32667337139037e-06,1.7521283957933065e-05
0.0,7.6875,4.545249162102305e-06,1.1133509827399024e-05,1.0474434015694811e-05,1.9009823937210513e-05
0.0,7.75,5.2373080536849415e-06,1.2636838110924309e-05,1.1702901363541685e-05,2.0103609902122344e-05
0.0,7.8125,6.0081118325450156e-06,1.4285753635046028e-05,1.2987385253460104e-05,2.203312520876466e-05
0.0,7.875,6.8607312103674545e-06,1.6087835273126405e-05,1.4457042014637267e-05,2.412052274536336e-05
0.0,7.9375,7.815242084374674e-06,1.805066973670222e-05,1.6002450596630524e-05,2.519393778044332e-05
