t,x,u
0.1,-5.4375,0.0002092267447308671
0.1,-5.375,0.00021927300667262672
0.1,-5.3125,0.00022958910805756516
0.1,-5.25,0.00024018851544149733
0.1,-5.1875,0.00025106426097309953
0.1,-5.125,0.0002622178860805513
0.1,-5.0625,2.123301534595612e-15
0.1,-5.0,4.2343524520038756e-11
0.1,-4.9375,-4.804989010842586e-10
0.1,-4.875,-8.92558787296549e-10
0.1,-4.8125,-2.30760227072635e-09
0.1,-4.75,-2.0431175327961792e-10
0.1,-4.6875,8.501787485820644e-10
0.1,-4.625,2.285194776463495e-11
0.1,-4.5625,-1.5838393097045156e-10
0.1,-4.5,-1.4740017019454488e-10
0.1,-4.4375,1.2002944263511672e-09
0.1,-4.375,-1.7013348403704942e-09
0.1,-4.3125,1.0063186395292689e-10
0.1,-4.25,-3.8128625257094484e-10
0.1,-4.1875,1.5662398461513405e-10
0.1,-4.125,1.9087267183470757e-09
0.1,-4.0625,1.9983924237632067e-10
0.1,-4.0,1.8082583694289944e-09
0.1,-3.9375,1.8934782214374835e-09
0.1,-3.875,3.585676047745956e-09
0.1,-3.8125,3.5152737110077936e-09
0.1,-3.75,9.036626655301028e-09
0.1,-3.6875,8.638045140285655e-09
0.1,-3.625,1.6524402790540904e-08
0.1,-3.5625,2.3935541104691538e-08
0.1,-3.5,3.322758249102442e-08
0.1,-3.4375,4.4821059475008695e-08
0.1,-3.375,5.867424601735394e-08
0.1,-3.3125,8.195977818648004e-08
0.1,-3.25,1.088472474652935e-07
0.1,-3.1875,1.430059029250419e-07
0.1,-3.125,1.844460355004962e-07
0.1,-3.0625,2.399855444923382e-07
0.1,-3.0,3.061193558639985e-07
0.1,-2.9375,3.8915393313354585e-07
0.1,-2.875,4.846206324571334e-07
0.1,-2.8125,6.017996269647163e-07
0.1,-2.75,7.450300296696355e-07
0.1,-2.6875,9.132655269805667e-07
0.1,-2.625,1.1121425219640102e-06
0.1,-2.5625,1.3447960417467542e-06
0.1,-2.5,1.618060502861507e-06
0.1,-2.4375,1.9319504823700484e-06
0.1,-2.375,2.2985243831596947e-06
0.1,-2.3125,2.711578545699922e-06
0.1,-2.25,3.184137858491809e-06
0.1,-2.1875,3.7256028447285594e-06
0.1,-2.125,4.333526239130858e-06
0.1,-2.0625,5.018888258101484e-06
0.1,-2.0,5.786464443380268e-06
0.1,-1.9375,6.64225738755686e-06
0.1,-1.875,7.5948273228765295e-06
0.1,-1.8125,8.653891319654328e-06
0.1,-1.75,9.81243319975178e-06
0.1,-1.6875,1.1094308630998917e-05
0.1,-1.625,1.2495054963368446e-05
0.1,-1.5625,1.4032077212233762e-05
0.1,-1.5,1.5704240566849492e-05
0.1,-1.4375,1.7521182588825512e-05
0.1,-1.375,1.948769794327121e-05
0.1,-1.3125,2.1618768976633396e-05
0.1,-1.25,2.391337702858931e-05
0.1,-1.1875,2.6381548305337565e-05
0.1,-1.125,2.9028310624429343e-05
0.1,-1.0625,3.1862087328249356e-05
0.1,-1.0,3.4891241715045984e-05
0.1,-0.9375,3.812018400450867e-05
0.1,-0.875,4.155569969896411e-05
0.1,-0.8125,4.520322477141736e-05
0.1,-0.75,4.907233909709485e-05
0.1,-0.6875,5.316342697839205e-05
0.1,-0.625,5.748658133905571e-05
0.1,-0.5625,6.20449394024003e-05
0.1,-0.5,6.684342942026023e-05
0.1,-0.4375,7.188933428114996e-05
0.1,-0.375,7.718593045472066e-05
0.1,-0.3125,8.27368254128491e-05
0.1,-0.25,8.854948000677765e-05
0.1,-0.1875,9.462582548083742e-05
0.1,-0.125,0.00010096790703961744
0.1,-0.0625,0.00010758626706158791
0.1,0.0,0.00011447286846633098
0.1,0.0625,0.00012163954481420047
0.1,0.125,0.0001290873152739458
0.1,0.1875,0.0001368180725962176
0.1,0.25,0.00014483288963934582
0.1,0.3125,0.0001531381315522662
0.1,0.375,0.00016172611908121803
0.1,0.4375,0.00017061424037667638
0.1,0.5,0.00017979279709853802
0.1,0.5625,0.00018926144166106496
0.1,0.625,0.00019902612914782236
0.1,0.6875,0.0002090868525107814
0.1,0.75,0.0002194421047567452
0.1,0.8125,0.0002300980192065094
0.1,0.875,0.000241043733436197
0.1,0.9375,0.0002522847476457979
0.1,1.0,0.0002638296907113147
0.1,1.0625,0.00027566468593406834
0.1,1.125,0.0002877959536880248
0.1,1.1875,0.00030022083120379017
0.1,1.25,4.315992008230296e-15
0.1,1.3125,-4.199822087325167e-11
0.1,1.375,4.814038022382672e-10
0.1,1.4375,8.94256019928763e-10
0.1,1.5,2.309806654970936e-09
0.1,1.5625,2.0553760082808736e-10
0.1,1.625,-8.43150289170369e-10
0.1,1.6875,-1.5207002324046925e-11
0.1,1.75,1.8065367257680265e-10
0.1,1.8125,1.8603239261560933e-10
0.1,1.875,-1.1284822139245865e-09
0.1,1.9375,1.8464379296367905e-09
0.1,2.0,1.6286191839576247e-10
0.1,2.0625,8.514787833147075e-10
0.1,2.125,6.579912517623576e-10
0.1,2.1875,-5.331141292308494e-10
0.1,2.25,2.0518566498650692e-09
0.1,2.3125,1.8074782157095903e-09
0.1,2.375,3.763810263457401e-09
0.1,2.4375,5.1140385190495685e-09
0.1,2.5,9.595063382716873e-09
0.1,2.5625,1.0347614431971408e-08
0.1,2.625,1.955496221894837e-08
0.1,2.6875,2.3825658362897073e-08
0.1,2.75,3.295578498985208e-08
0.1,2.8125,4.585937241063931e-08
0.1,2.875,6.366347110597914e-08
0.1,2.9375,8.826651112792128e-08
0.1,3.0,1.1473591465804844e-07
0.1,3.0625,1.5147908299928403e-07
0.1,3.125,1.9787900179535356e-07
0.1,3.1875,2.574215984540995e-07
0.1,3.25,3.272876766269306e-07
0.1,3.3125,4.155161111296657e-07
0.1,3.375,5.20891053873429e-07
0.1,3.4375,6.53546776419045e-07
0.1,3.5,8.104814831488838e-07
0.1,3.5625,9.942498072623707e-07
0.1,3.625,1.2134038996913787e-06
0.1,3.6875,1.470454533192278e-06
0.1,3.75,1.7710332222975467e-06
0.1,3.8125,2.1176938022615666e-06
0.1,3.875,2.5204157310665387e-06
0.1,3.9375,2.9777270619257834e-06
0.1,4.0,3.5069726637138032e-06
0.1,4.0625,4.106821244076464e-06
0.1,4.125,4.7800739763070865e-06
0.1,4.1875,5.541838615508166e-06
0.1,4.25,6.3942468681021936e-06
0.1,4.3125,7.346018431775292e-06
0.1,4.375,8.40500402260469e-06
0.1,4.4375,9.576802022848163e-06
0.1,4.5,1.0866116585961372e-05
0.1,4.5625,1.2294583125016523e-05
0.1,4.625,1.3853158754517647e-05
0.1,4.6875,1.556121274282063e-05
0.1,4.75,1.7416334195385907e-05
0.1,4.8125,1.9434663808715058e-05
0.1,4.875,2.162155696339152e-05
0.1,4.9375,2.398713913362438e-05
0.1,5.0,2.6531257024425825e-05
0.1,5.0625,2.92695826706324e-05
0.1,5.125,3.2206571915716076e-05
0.1,5.1875,3.535144596730766e-05
0.1,5.25,3.870977279923915e-05
0.1,5.3125,4.228688264296121e-05
0.1,5.375,4.6091734852093946e-05
0.1,5.4375,5.013055335961747e-05
0.1,5.5,5.4410540628963e-05
0.1,5.5625,5.893435267748104e-05
0.1,5.625,6.371340081323673e-05
0.1,5.6875,6.874896060940494e-05
0.1,5.75,7.40487927262945e-05
0.1,5.8125,7.96183956170704e-05
0.1,5.875,8.546042223323003e-05
0.1,5.9375,9.158103705084186e-05
0.1,6.0,9.798555674117582e-05
0.1,6.0625,0.00010467495373878144
0.1,6.125,0.00011165518637290539
0.1,6.1875,0.00011893158793688241
0.1,6.25,0.0001265004789418045
0.1,6.3125,0.00013437622472395327
0.1,6.375,0.00014255280947822468
0.1,6.4375,0.00015103450800754703
0.1,6.5,0.00015982420343424453
0.1,6.5625,0.0001689250966106226
0.1,6.625,0.00017833460461175177
0.1,6.6875,0.000188063658650095
0.1,6.75,0.0001980976823024172
0.1,6.8125,0.00020844866194494327
0.1,6.875,0.00021911879435826398
0.1,6.9375,0.00023010350047214523
0.1,7.0,0.0002414037281651682
0.1,7.0625,0.00025302145857214464
0.1,7.125,0.00026495065863918477
0.1,7.1875,0.00027720181187171344
0.1,7.25,0.00028976869874822175
0.1,7.3125,0.00030264155103790213
0.1,7.375,0.00031583273844534854
0.1,7.4375,0.00032933415862526627
0.1,7.5,0.00034314626931444825
0.1,7.5625,8.978928711655954e-15
0.1,7.625,4.168923539715763e-11
0.1,7.6875,-4.819774475361971e-10
0.1,7.75,-8.951648311494864e-10
0.1,7.8125,-2.3099471693072138e-09
0.1,7.875,-2.0241351303407207e-10
0.1,7.9375,8.460999956216853e-10
0.2,-8.0,3.0706590048446e-11
0.2,-7.9375,-1.5362896371717838e-10
0.2,-7.875,-1.231879685065218e-10
0.2,-7.8125,1.2565300726991024e-09
0.2,-7.75,-1.6136016342538362e-09
0.2,-7.6875,2.65068607688268e-10
0.2,-7.625,-9.711958667835141e-11
0.2,-7.5625,6.329151265582755e-10
0.2,-7.5,2.6798527702487362e-09
0.2,-7.4375,1.442118063854636e-09
0.2,-7.375,3.729792669160403e-09
0.2,-7.3125,4.844967788075749e-09
0.2,-7.25,7.969345475200562e-09
0.2,-7.1875,9.92676814359772e-09
0.2,-7.125,1.828791537650254e-08
0.2,-7.0625,2.173901889057639e-08
0.2,-7.0,3.480546723055866e-08
0.2,-6.9375,4.9074321134545684e-08
0.2,-6.875,6.733068703967948e-08
0.2,-6.8125,9.049765917201746e-08
0.2,-6.75,1.1912845621075974e-07
0.2,-6.6875,1.6101341482332998e-07
0.2,-6.625,2.1114526774224096e-07
0.2,-6.5625,2.740145811086503e-07
0.2,-6.5,3.5059571268369893e-07
0.2,-6.4375,4.487640361539036e-07
0.2,-6.375,5.661611793272847e-07
0.2,-6.3125,7.103426048482575e-07
0.2,-6.25,8.781985477435139e-07
0.2,-6.1875,1.080436006439811e-06
0.2,-6.125,1.3229067136188988e-06
0.2,-6.0625,1.6061831532021564e-06
0.2,-6.0,1.9375644252361823e-06
0.2,-5.9375,2.3219268561192052e-06
0.2,-5.875,2.7678953619658664e-06
0.2,-5.8125,3.277319852168503e-06
0.2,-5.75,3.864122605778952e-06
0.2,-5.6875,4.524010277451307e-06
0.2,-5.625,5.2719055430028305e-06
0.2,-5.5625,6.119108188484823e-06
0.2,-5.5,7.065094469127509e-06
0.2,-5.4375,8.122714127201114e-06
0.2,-5.375,9.2986125413419e-06
0.2,-5.3125,1.0600605807487007e-05
0.2,-5.25,1.203902860258399e-05
0.2,-5.1875,1.362531219856189e-05
0.2,-5.125,1.535412396663771e-05
0.2,-5.0625,1.725087858428509e-05
0.2,-5.0,1.931264715238079e-05
0.2,-4.9375,2.155825146626933e-05
0.2,-4.875,2.398791676505585e-05
0.2,-4.8125,2.6612532137371137e-05
0.2,-4.75,2.9438063558956395e-05
0.2,-4.6875,3.248053607551871e-05
0.2,-4.625,3.5739922936400825e-05
0.2,-4.5625,3.922710878223601e-05
0.2,-4.5,4.294789095393714e-05
0.2,-4.4375,4.691135252357648e-05
0.2,-4.375,5.1126420105657155e-05
0.2,-4.3125,5.55979645990301e-05
0.2,-4.25,6.033314256273514e-05
0.2,-4.1875,6.53376470076128e-05
0.2,-4.125,7.062121496065332e-05
0.2,-4.0625,7.618432306716327e-05
0.2,-4.0,8.203703164638698e-05
0.2,-3.9375,8.818237515881289e-05
0.2,-3.875,9.462508441879236e-05
0.2,-3.8125,0.00010137216641584179
0.2,-3.75,0.0001084265362031045
0.2,-3.6875,0.00011579138164830027
0.2,-3.625,0.0001234736286082616
0.2,-3.5625,0.00013147465241220013
0.2,-3.5,0.0001397958579855696
0.2,-3.4375,0.00014844707076505648
0.2,-3.375,0.0001574195045658533
0.2,-3.3125,0.00016672416585872263
0.2,-3.25,0.00017636120830272217
0.2,-3.1875,0.00018633161913064744
0.2,-3.125,0.00019663550937551455
0.2,-3.0625,0.00020727821998409168
0.2,-3.0,0.00021825107861817017
0.2,-2.9375,0.00022957035330767317
0.2,-2.875,0.00024122528513997876
0.2,-2.8125,0.0002532143800089981
0.2,-2.75,0.00026554244819454453
0.2,-2.6875,0.0002782082930172236
0.2,-2.625,0.00029120925603706715
0.2,-2.5625,0.00030455020438502345
0.2,-2.5,0.00031821912423343757
0.2,-2.4375,0.0003322202355953985
0.2,-2.375,0.0003465609381559376
0.2,-2.3125,0.00036122610824626533
0.2,-2.25,0.00037622073485441
0.2,-2.1875,0.0003915408721381908
0.2,-2.125,1.815214645262131e-14
0.2,-2.0625,-4.121291155567697e-11
0.2,-2.0,4.82856397227005e-10
0.2,-1.9375,8.971076451147475e-10
0.2,-1.875,2.3128737466904248e-09
0.2,-1.8125,2.070468518855506e-10
0.2,-1.75,-8.305597737345849e-10
0.2,-1.6875,-5.934329416756867e-12
0.2,-1.625,2.1185782989041613e-10
0.2,-1.5625,2.318937090961537e-10
0.2,-1.5,-1.0525038687814181e-09
0.2,-1.4375,2.001229543191485e-09
0.2,-1.375,4.26354965221698e-10
0.2,-1.3125,1.300273583249023e-09
0.2,-1.25,1.4018028404727545e-09
0.2,-1.1875,6.742435845752404e-10
0.2,-1.125,3.9389229586350716e-09
0.2,-1.0625,4.726497245671757e-09
0.2,-1.0,8.140503108405861e-09
0.2,-0.9375,1.1612344037736921e-08
0.2,-0.875,1.9046925654742086e-08
0.2,-0.8125,2.3823588178595312e-08
0.2,-0.75,3.849673515382568e-08
0.2,-0.6875,5.004001051023277e-08
0.2,-0.625,6.87305760638246e-08
0.2,-0.5625,9.403350031966795e-08
0.2,-0.5,1.2772101240510203e-07
0.2,-0.4375,1.7242343770818014e-07
0.2,-0.375,2.2411450778525577e-07
0.2,-0.3125,2.920920956217543e-07
0.2,-0.25,3.768474358400997e-07
0.2,-0.1875,4.830380970211046e-07
0.2,-0.125,6.091342781011644e-07
0.2,-0.0625,7.64587356816282e-07
0.2,0.0,9.496946144493812e-07
0.2,0.0625,1.1761901939910668e-06
0.2,0.125,1.4427918218207214e-06
0.2,0.1875,1.7538624844104511e-06
0.2,0.25,2.119811172818231e-06
0.2,0.3125,2.5451058701109197e-06
0.2,0.375,3.037376085091026e-06
0.2,0.4375,3.6012252813688583e-06
0.2,0.5,4.248719502053522e-06
0.2,0.5625,4.980499168250052e-06
0.2,0.625,5.816010476999978e-06
0.2,0.6875,6.756046722955489e-06
0.2,0.75,7.805523753179333e-06
0.2,0.8125,8.981600712165694e-06
0.2,0.875,1.0288467708174931e-05
0.2,0.9375,1.1736816069862765e-05
0.2,1.0,1.3336441874511884e-05
0.2,1.0625,1.509480646127992e-05
0.2,1.125,1.7018410675029294e-05
0.2,1.1875,1.9130570914016598e-05
0.2,1.25,2.1423891060468048e-05
0.2,1.3125,2.3919238510416996e-05
0.2,1.375,2.6615641197991202e-05
0.2,1.4375,2.953053596832511e-05
0.2,1.5,3.2670487104591306e-05
0.2,1.5625,3.604670528983833e-05
0.2,1.625,3.966003482891445e-05
0.2,1.6875,4.352698982379444e-05
0.2,1.75,4.765278054666422e-05
0.2,1.8125,5.204725580129632e-05
0.2,1.875,5.6716504224035846e-05
0.2,1.9375,6.166625945253079e-05
0.2,2.0,6.690577095608274e-05
0.2,2.0625,7.24414368966364e-05
0.2,2.125,7.828053745290164e-05
0.2,2.1875,8.44257072301624e-05
0.2,2.25,9.088820694835853e-05
0.2,2.3125,9.76690947688541e-05
0.2,2.375,0.00010477580135706543
0.2,2.4375,0.00011221341268341511
0.2,2.5,0.00011998408036886787
0.2,2.5625,0.0001280933883586466
0.2,2.625,0.0001365459799856361
0.2,2.6875,0.00014534211804106967
0.2,2.75,0.00015448693903874489
0.2,2.8125,0.0001639849051933151
0.2,2.875,0.000173831421333287
0.2,2.9375,0.000184039850782719
0.2,3.0,0.00019460315161143327
0.2,3.0625,0.00020552450922095566
0.2,3.125,0.00021680566719012306
